# Experiment File Name : PicoGreen_Assay_
# Description : 
# User Name : 
# Last Modified date/time : Oct 02 2018 21:10:07 EDT
# Instrument Type : QuantStudio™ 3 System
# Block Type : 96-Well 0.2-mL Block
# Instrument Name : QuantStudio™ 3 System
# Instrument serial number : 272322288
# Instrument Start Date/time : Dec 04 2018 21:28:45 EST
# Instrument Stop Date/time : Dec 04 2018 22:06:25 EST
# Run Duration : 37 minutes 40 seconds
# Sample volume : 200.0
# Cover temperature : 50.0
# PCR Stage / Cycle where Analysis is performed : Stage 0 Step 0
# Melt Stage where Analysis is performed : NA
# Comments : 

"Well","Cycle Number","x1-m1","x2-m2","x3-m3","x4-m4",
"A1","1.0","11210.884","2298.8484","872.80304","685.00494",
"A10","1.0","11762.871","2267.5662","999.2332","1113.518",
"A11","1.0","18493.766","3204.2095","1691.6332","2563.0532",
"A12","1.0","25524.752","3509.223","2197.5908","1808.4636",
"A2","1.0","14244.856","2134.3267","631.9922","1108.5785",
"A3","1.0","12425.116","2494.6086","998.8275","757.09204",
"A4","1.0","8591.294","2095.0632","735.47437","1226.2526",
"A5","1.0","9604.114","2276.3252","614.40497","734.2776",
"A6","1.0","10936.981","2379.1892","544.05615","1264.0969",
"A7","1.0","13478.326","2567.7473","953.441","1410.5188",
"A8","1.0","12620.547","1779.7723","774.47656","2138.1003",
"A9","1.0","18459.559","2390.1511","1021.16345","2040.5714",
"B1","1.0","11472.586","2172.1143","558.72406","83.13239",
"B10","1.0","16763.85","2865.3823","1542.0316","2951.6565",
"B11","1.0","19358.83","2509.537","585.0266","1547.9683",
"B12","1.0","15743.021","2272.3164","811.9946","1914.3436",
"B2","1.0","10736.698","1693.5428","278.40182","821.36273",
"B3","1.0","9940.804","2346.7642","525.0682","1704.936",
"B4","1.0","9489.949","2262.499","2686.1123","1173.363",
"B5","1.0","11327.124","2008.619","980.08453","1226.6129",
"B6","1.0","10805.174","2066.1736","643.1532","646.3304",
"B7","1.0","9470.259","1543.4757","392.37637","1616.949",
"B8","1.0","15776.956","2154.1758","1946.4858","3122.7417",
"B9","1.0","20380.137","2834.9248","615.1997","2021.7134",
"C1","1.0","16765.637","2111.3455","761.4054","1550.1401",
"C10","1.0","9998.857","1567.6434","421.65326","1720.0361",
"C11","1.0","13961.112","2094.0303","881.997","1742.7754",
"C12","1.0","13088.544","2018.4004","944.4315","1557.1053",
"C2","1.0","13225.745","2224.5283","826.1779","927.21515",
"C3","1.0","8239.735","1423.8541","246.88892","1605.6699",
"C4","1.0","22268.053","2550.5752","940.947","2077.8433",
"C5","1.0","9766.809","1628.1726","895.7608","1212.0742",
"C6","1.0","27021.512","3236.3691","1599.8713","2493.0945",
"C7","1.0","12963.057","2368.2239","1664.4508","3156.4302",
"C8","1.0","12535.312","1836.7753","1592.7422","3030.325",
"C9","1.0","19158.076","1776.4612","1212.389","2496.5723",
"D1","1.0","12552.977","1228.4954","521.02045","443.1918",
"D10","1.0","24783.33","3350.2869","2125.8367","4306.5825",
"D11","1.0","32480.645","3832.8315","1186.0266","5939.3057",
"D12","1.0","15336.16","2297.5188","42.571163","1107.5371",
"D2","1.0","12631.468","1809.0293","631.66974","1106.9374",
"D3","1.0","10887.36","1432.5045","468.25357","1103.3134",
"D4","1.0","16475.05","2358.9436","948.3901","1773.739",
"D5","1.0","14735.356","2188.559","1503.533","2577.8462",
"D6","1.0","15795.257","1733.673","372.87357","2325.9282",
"D7","1.0","12873.419","1329.5547","670.5704","1721.8837",
"D8","1.0","13110.142","1702.7803","773.8218","1402.1938",
"D9","1.0","23199.207","3256.4329","1827.6927","2816.1934",
"E1","1.0","15252.965","2021.8937","1238.5668","2434.8035",
"E10","1.0","15082.719","2051.9216","1219.7764","2376.702",
"E11","1.0","14458.829","2192.2385","914.25006","2188.3425",
"E12","1.0","16042.993","2811.1243","1465.436","2876.2246",
"E2","1.0","11635.324","1397.1775","559.60693","2701.6223",
"E3","1.0","12196.003","2256.3884","440.12305","2576.9395",
"E4","1.0","10073.276","2018.2345","730.85095","2730.9905",
"E5","1.0","9675.774","1530.4401","544.17145","2359.464",
"E6","1.0","10485.415","1462.5409","596.74835","2446.687",
"E7","1.0","12447.469","1458.9247","617.6745","3298.0007",
"E8","1.0","11374.038","1291.7896","518.4284","3733.777",
"E9","1.0","14152.352","1761.1312","819.369","2488.2139",
"F1","1.0","14654.255","2482.3464","921.5701","2471.745",
"F10","1.0","18175.6","2974.4822","1212.0176","2991.0098",
"F11","1.0","17554.729","2652.3948","1036.689","2826.02",
"F12","1.0","-233.7685","399.5725","583.2109","-359.61612",
"F2","1.0","9584.136","2005.6122","813.3799","1461.816",
"F3","1.0","9935.634","1867.6104","955.4952","1101.0862",
"F4","1.0","11523.565","1988.6927","616.6219","1775.8373",
"F5","1.0","10814.797","2649.2585","2214.6","3762.5107",
"F6","1.0","19225.479","4059.9492","2429.8328","3423.7131",
"F7","1.0","10440.273","1321.0403","536.617","2621.2144",
"F8","1.0","18004.045","2430.629","1500.3486","4261.441",
"F9","1.0","19091.477","2756.886","1083.721","2736.1091",
"G1","1.0","12754.8125","1988.4658","367.5378","1568.0471",
"G10","1.0","13218.78","1849.5546","926.1583","1169.2634",
"G11","1.0","14533.894","2373.067","281.60025","2471.6863",
"G12","1.0","15960.947","3208.645","529.5837","1236.952",
"G2","1.0","13964.595","1799.9014","647.5071","2067.248",
"G3","1.0","11424.34","1906.6377","392.90338","2116.2805",
"G4","1.0","8539.882","1560.8893","544.4531","1505.252",
"G5","1.0","15740.319","2027.8777","1434.6454","3372.086",
"G6","1.0","12554.021","1515.5304","632.0589","1815.388",
"G7","1.0","18525.533","2302.2983","1525.945","2916.8904",
"G8","1.0","15727.077","1646.9933","651.42114","2993.8904",
"G9","1.0","10408.114","1169.8995","276.54382","1644.8733",
"H1","1.0","8128.6885","868.7163","233.64886","854.98193",
"H10","1.0","16977.652","1805.1611","262.5351","1812.5757",
"H11","1.0","13023.269","2032.7771","551.796","1767.2245",
"H12","1.0","8462.319","1130.2041","214.83391","2513.7551",
"H2","1.0","10338.887","2540.038","333.4712","1511.4943",
"H3","1.0","11575.942","2427.3757","-174.71083","2234.222",
"H4","1.0","12153.595","2679.673","462.68683","2496.5742",
"H5","1.0","12686.572","2054.748","839.2036","2490.2468",
"H6","1.0","16243.842","2593.1863","244.19212","3441.0625",
"H7","1.0","11413.762","1778.2013","-29.666613","2764.4233",
"H8","1.0","12462.518","2316.4028","1012.392","2832.8032",
