ExcelBarcode,Quantity,WellRow,WellCol,WellCombo,SampleID,SampleBarcode,Collection_Label,Field_Site,CollectionDate,Sample_Type,Habitat,Host,Trophic,Accessioned,PI,Metadata,Lat,Long,Processing,Storage_Room,Storage_Location,FreezerBox,Container_Size,Notes
00933',1,A,1,A01,WMEA_00933_No_M2,933,RockSwab1A-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00941',1,A,2,A02,WMEA_00941_No_M2,941,RockSwab3C-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00875',1,A,3,A03,WMEA_00875_No_M1,875,RockSwab2B-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00958',1,A,4,A04,WMEA_00958_Pl_M2,958,Limu5B-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Tiagora sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00946',1,A,5,A05,WMEA_00946_Pl_M2,946,Limu1B-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Neomeris sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00955',1,A,6,A06,WMEA_00955_Pl_M2,955,Limu4B-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Halemedia discoidea,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00951',1,A,7,A07,WMEA_00951_Pl_M2,951,Limu3A-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Dictyoda sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00859',1,A,8,A08,WMEA_00859_No_M1,859,SedimentB-M1,M1,10/25/2018,Sediment,Marine,Nonhost,Environmental,Yes,Craig,Sand,21.63854,-158.0717,NA,,,,,
01076',1,A,9,A09,WMEA_01076_NA_NA,1076,GF_male_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_male_3day,NA,NA,NA,NA,NA,NA,NA,
01084',1,A,10,A10,WMEA_01084_NA_NA,1084,GF_female_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_female_3day,NA,NA,NA,NA,NA,NA,NA,
01087',1,A,11,A11,WMEA_01087_NA_NA,1087,CR_female_3day,NA,11/27/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_female_3day,NA,NA,NA,NA,NA,NA,NA,
01100',1,A,12,A12,WMEA_01100_NA_NA,1100,NA_female_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_female_3day,NA,NA,NA,NA,NA,NA,NA,
00934',1,B,1,B01,WMEA_00934_No_M2,934,RockSwab1B-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00942',1,B,2,B02,WMEA_00942_No_M2,942,RockSwab4A-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00876',1,B,3,B03,WMEA_00876_No_M1,876,RockSwab2C-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00888',1,B,4,B04,WMEA_00888_Pl_M1,888,Limu3B-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Halimeda discoidea,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00887',1,B,5,B05,WMEA_00887_Pl_M1,887,Limu3A-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Halimeda discoidea,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00959',1,B,6,B06,WMEA_00959_Pl_M2,959,Limu5C-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Tiagora sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00891',1,B,7,B07,WMEA_00891_Pl_M1,891,Limu4B-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Liagora sp,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00859',1,B,8,B08,WMEA_00859_No_M1,859,SedimentB-M1,M1,10/25/2018,Sediment,Marine,Nonhost,Environmental,Yes,Craig,Sand,21.63854,-158.0717,NA,,,,,
01079',1,B,9,B09,WMEA_01079_NA_NA,1079,GF_male_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_male_3day,NA,NA,NA,NA,NA,NA,NA,
01093',1,B,10,B10,WMEA_01093_NA_NA,1093,CR_male_3day,NA,11/28/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_male_3day,NA,NA,NA,NA,NA,NA,NA,
01088',1,B,11,B11,WMEA_01088_NA_NA,1088,CR_female_3day,NA,11/27/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_female_3day,NA,NA,NA,NA,NA,NA,NA,
01101',1,B,12,B12,WMEA_01101_NA_NA,1101,NA_female_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_female_3day,NA,NA,NA,NA,NA,NA,NA,
00935',1,C,1,C01,WMEA_00935_No_M2,935,RockSwab1C-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00943',1,C,2,C02,WMEA_00943_No_M2,943,RockSwab4B-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00877',1,C,3,C03,WMEA_00877_No_M1,877,RockSwab3A-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00892',1,C,4,C04,WMEA_00892_Pl_M1,892,Limu4C-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Liagora sp,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00962',1,C,5,C05,WMEA_00962_Pl_M2,962,Limu6C-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Acanthophora sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00950',1,C,6,C06,WMEA_00950_Pl_M2,950,Limu2C-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Geliadiella sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00960',1,C,7,C07,WMEA_00960_Pl_M2,960,Limu6A-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Acanthophora sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00860',1,C,8,C08,WMEA_00860_No_M1,860,SedimentC-M1,M1,10/25/2018,Sediment,Marine,Nonhost,Environmental,Yes,Craig,Sand,21.63854,-158.0717,NA,,,,,
01078',1,C,9,C09,WMEA_01078_NA_NA,1078,GF_male_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_male_3day,NA,NA,NA,NA,NA,NA,NA,
01092',1,C,10,C10,WMEA_01092_NA_NA,1092,CR_male_3day,NA,11/28/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_male_3day,NA,NA,NA,NA,NA,NA,NA,
01089',1,C,11,C11,WMEA_01089_NA_NA,1089,CR_female_3day,NA,11/27/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_female_3day,NA,NA,NA,NA,NA,NA,NA,
01102',1,C,12,C12,WMEA_01102_NA_NA,1102,NA_female_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_female_3day,NA,NA,NA,NA,NA,NA,NA,
00936',1,D,1,D01,WMEA_00936_No_M2,936,RockSwab2A-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00944',1,D,2,D02,WMEA_00944_No_M2,944,RockSwab4C-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00878',1,D,3,D03,WMEA_00878_No_M1,878,RockSwab3B-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00885',1,D,4,D04,WMEA_00885_Pl_M1,885,Limu2B-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Unknown,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00884',1,D,5,D05,WMEA_00884_Pl_M1,884,Limu2A-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Unknown,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00890',1,D,6,D06,WMEA_00890_Pl_M1,890,Limu4A-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Liagora sp,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00893',1,D,7,D07,WMEA_00893_Pl_M1,893,Limu5A-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Laurencia sp,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00860',1,D,8,D08,WMEA_00860_No_M1,860,SedimentC-M1,M1,10/25/2018,Sediment,Marine,Nonhost,Environmental,Yes,Craig,Sand,21.63854,-158.0717,NA,,,,,
01077',1,D,9,D09,WMEA_01077_NA_NA,1077,GF_male_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_male_3day,NA,NA,NA,NA,NA,NA,NA,
01091',1,D,10,D10,WMEA_01091_NA_NA,1091,CR_male_3day,NA,11/28/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_male_3day,NA,NA,NA,NA,NA,NA,NA,
01095',1,D,11,D11,WMEA_01095_NA_NA,1095,NA_male_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_male_3day,NA,NA,NA,NA,NA,NA,NA,
01103',1,D,12,D12,WMEA_01103_NA_NA,1103,NA_female_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_female_3day,NA,NA,NA,NA,NA,NA,NA,
